zip	latitude	longitude
85001	33.45	-112.06
85003	33.45	-112.06
85004	33.44	-112.07
85005	33.44	-112.07
85006	33.46	-112.05
85007	33.44	-112.07
85008	33.46	-112.05
85009	33.44	-112.07
85011	33.5	-112.05
85012	33.5	-112.05
85013	33.5	-112.05
85015	33.5	-112.05
85016	33.5	-112.05
85017	33.5	-112.05
85018	33.5	-112.05
85019	33.5	-112.05
85020	33.57	-112.05
85021	33.55	-112.09
85022	33.62	-112.05
85023	33.63	-112.09
85024	33.68	-112.04
85026	33.45	-112.06
85027	33.72	-112.08
85028	33.56	-112
85029	33.59	-112.1
85031	33.49	-112.16
85032	33.62	-112.05
85033	33.49	-112.16
85035	33.47	-112.19
85036	33.63	-112.09
85037	33.48	-112.25
85039	33.49	-112.16
85040	33.4	-112.02
85041	33.38	-112.11
85042	33.37	-112.03
85043	33.42	-112.2
85044	33.34	-112.06
85045	33.3	-112.1
85048	33.28	-112.03
85050	33.69	-112
85051	33.55	-112.09
85053	33.62	-112.05
85054	33.67	-111.95
85061	33.51	-112.12
85063	33.5	-112.05
85064	33.5	-112.05
85065	33.43	-112.01
85066	33.39	-112.03
85068	33.67	-111.95
85069	33.56	-112
85070	33.3	-112.1
85071	33.59	-112.1
85072	33.45	-112.06
85074	33.45	-112.06
85076	33.32	-111.99
85079	33.5	-112.05
85080	33.63	-112.09
85083	33.73	-112.14
85085	33.75	-112.14
85086	33.83	-112.11
85087	33.95	-112.07
85096	33.44	-112.07
85097	33.43	-112.01
